subject,label,peakGyro,ratio,durationCount,gySigned,gzSigned,peakAccel,accelMean,accelStd,spikeCount,classified
A,GARBAGE,663.5,1.554,5,-663.5,-91.2,2.552,1.104,0.293,3,NONE
A,GARBAGE,101.0,0.635,0,101.0,64.4,1.445,1.087,0.186,1,NONE
A,GARBAGE,168.2,1.579,0,-168.2,33.9,1.374,0.969,0.115,1,NONE
A,GARBAGE,173.5,1.081,0,-173.5,-66.4,1.507,1.105,0.193,2,NONE
A,GARBAGE,211.0,1.055,0,-211.0,-41.6,1.473,1.139,0.155,1,NONE
A,GARBAGE,257.0,1.356,3,257.0,-100.1,1.359,1.014,0.084,1,NONE
A,GARBAGE,124.8,0.916,0,-124.8,-38.4,1.438,0.995,0.107,1,NONE
A,GARBAGE,183.9,1.100,0,183.9,81.0,1.801,1.010,0.231,1,NONE
A,GARBAGE,147.9,0.944,0,147.9,56.8,1.354,0.993,0.119,1,NONE
A,GARBAGE,244.0,0.774,3,244.0,129.1,1.649,1.017,0.212,1,NONE
A,GARBAGE,71.8,1.153,0,-71.8,-23.7,1.360,0.979,0.082,1,NONE
A,GARBAGE,193.1,0.919,0,193.1,94.6,1.366,0.994,0.110,1,NONE
A,GARBAGE,212.1,0.994,0,212.1,-48.3,1.446,1.007,0.173,1,NONE
A,GARBAGE,130.1,0.563,0,-130.1,114.5,1.833,1.171,0.265,3,NONE
A,GARBAGE,214.3,1.105,0,-121.6,72.3,2.252,1.066,0.373,4,NONE
A,GARBAGE,105.8,0.943,0,-77.7,-34.5,1.491,1.080,0.137,2,NONE
A,GARBAGE,65.6,0.971,0,-42.6,-24.9,1.379,1.038,0.113,1,NONE
A,GARBAGE,154.9,0.663,0,-154.9,118.1,1.502,1.026,0.158,2,NONE
A,GARBAGE,232.1,0.618,5,225.4,150.2,1.629,0.981,0.234,2,NONE
A,GARBAGE,192.9,1.049,0,99.1,-84.7,1.478,1.004,0.256,3,NONE
A,GARBAGE,285.0,0.755,6,-285.0,94.0,1.916,1.110,0.378,5,NONE
A,GARBAGE,306.0,0.666,4,-221.8,-306.0,1.455,0.961,0.193,1,NONE
